GEOID,est,emp
01053,1,358
01071,1,2087
01097,1,8
04013,1,2
05043,1,807
05045,1,3
05125,1,2
06001,1,11
06029,1,25
06037,0,2050
06045,1,74
06059,0,928
06061,1,1
06073,1,14
06075,1,7
06077,1,81
06083,1,38
06085,1,7
06111,1,2
08005,1,8
08013,1,3
08031,1,8
08035,1,2
08059,1,3
09003,1,7
09005,1,1
09009,1,2
12009,1,1
12011,1,8
12021,1,7
12031,1,6
12057,1,1
12073,1,1
12095,1,8
12099,1,6
12103,1,1
12115,1,6
13015,1,1197
13031,1,16
13045,1,45
13047,1,479
13055,1,782
13067,1,82
13097,1,15
13115,0,882
13121,1,13
13123,1,384
13129,0,4472
13175,1,748
13213,0,4064
13215,1,378
13285,1,771
13295,1,142
13313,0,13866
17031,1,15
17043,1,15
18003,1,14
18039,1,9
18079,1,204
18097,1,2
19109,1,39
21067,1,0
21229,1,163
22051,1,3
23001,1,406
23005,1,1
25001,1,13
25005,1,1
25009,1,69
25013,1,38
25021,1,23
25027,1,31
26021,1,2
26077,1,2
26081,1,110
27039,1,1
27053,1,0
27163,1,16
28045,1,3
28151,1,497
29047,1,5
29183,1,8
31109,1,7
32003,1,7
33001,1,2
33005,1,162
34003,1,2
34005,1,7
34017,1,13
34019,1,2
34021,1,2
34027,1,2
34039,1,15
35013,1,2
35035,1,2
35055,1,0
36047,1,21
36059,1,64
36061,0,36
36081,1,90
36111,1,4
37001,1,3
37005,1,28
37045,0,25
37065,1,453
37081,1,8
37087,1,1
37089,1,65
37111,1,777
37123,1,419
37125,1,446
37149,1,1
37157,1,426
37161,1,28
37165,1,70
37167,1,575
37183,1,2
39017,1,83
39035,1,4
39061,1,2
39089,1,13
39149,1,281
39155,1,1
40015,1,2
41067,1,7
42003,1,4
42017,1,67
42037,1,991
42041,1,900
42079,1,4
42101,1,50
44001,1,171
44005,1,3
44007,1,166
44009,1,4
45007,1,356
45013,1,0
45019,1,68
45021,1,80
45035,1,50
45045,1,102
45071,1,13
45083,1,410
45085,1,330
46099,1,34
47011,1,2
47029,1,14
47037,1,177
47051,1,349
47059,1,1
47065,1,178
47093,1,4
47107,1,35
48095,1,2
48113,1,23
48171,1,1
48201,1,13
49005,1,26
50001,1,2
50003,1,18
51017,1,14
51059,1,7
51163,1,1248
51650,1,12
53011,1,2
53021,1,1
53033,1,2
53061,1,7
53073,1,2
55025,1,2
55059,1,6
55079,1,15
