year,description,st_gdp,state,st_fips,st_pop,gdp_pk
2001,Goods-Producing,68517405,AL,01,8935268,7.67
2002,Goods-Producing,70864197,AL,01,8960178,7.91
2003,Goods-Producing,76354353,AL,01,9006982,8.48
2004,Goods-Producing,81914890,AL,01,9061458,9.04
2005,Goods-Producing,87284377,AL,01,9139610,9.55
2006,Goods-Producing,88250802,AL,01,9257962,9.53
2007,Goods-Producing,88904573,AL,01,9345680,9.51
2008,Goods-Producing,85878830,AL,01,9436412,9.1
2009,Goods-Producing,72771367,AL,01,9515876,7.65
2010,Goods-Producing,75475993,AL,01,9575996,7.88
2011,Goods-Producing,78690764,AL,01,9624276,8.18
2012,Goods-Producing,79226903,AL,01,9678522,8.19
2013,Goods-Producing,82874512,AL,01,9728798,8.52
2014,Goods-Producing,80531376,AL,01,9773586,8.24
2015,Goods-Producing,81474530,AL,01,9816324,8.3
2016,Goods-Producing,83206303,AL,01,9861190,8.44
2017,Goods-Producing,86925883,AL,01,9904404,8.78
2018,Goods-Producing,89609989,AL,01,9952790,9
2019,Goods-Producing,87955859,AL,01,10006836,8.79
2020,Goods-Producing,84842302,AL,01,10062724,8.43
2021,Goods-Producing,94318981,AL,01,10099692,9.34
2001,Services-Producing,156432797,AL,01,8935268,17.51
2002,Services-Producing,170848949,AL,01,8960178,19.07
2003,Services-Producing,177589990,AL,01,9006982,19.72
2004,Services-Producing,175414520,AL,01,9061458,19.36
2005,Services-Producing,193217260,AL,01,9139610,21.14
2006,Services-Producing,196773557,AL,01,9257962,21.25
2007,Services-Producing,199763856,AL,01,9345680,21.37
2008,Services-Producing,198084513,AL,01,9436412,20.99
2009,Services-Producing,191967355,AL,01,9515876,20.17
2010,Services-Producing,200508932,AL,01,9575996,20.94
2011,Services-Producing,201506076,AL,01,9624276,20.94
2012,Services-Producing,205664452,AL,01,9678522,21.25
2013,Services-Producing,204756951,AL,01,9728798,21.05
2014,Services-Producing,207885375,AL,01,9773586,21.27
2015,Services-Producing,212513369,AL,01,9816324,21.65
2016,Services-Producing,213140867,AL,01,9861190,21.61
2017,Services-Producing,215462207,AL,01,9904404,21.75
2018,Services-Producing,220041516,AL,01,9952790,22.11
